d,p,n,par,family,dvine,norm_error,sum_error,max_norm_error,last_param_error
10,45,100,function (t)  0.5^t,1,FALSE,0.6832453363808222,-0.8409999096663536,0.26983406435922075,0.08083444566256888
10,45,100,function (t)  0.5^t,1,FALSE,0.6468193765005263,0.1411943429483276,0.20822802573035937,0.055523903192208374
10,45,100,function (t)  0.5^t,1,FALSE,0.667556349564587,-0.25840302201554666,0.2285310753122572,0.1518495128816065
10,45,100,function (t)  0.5^t,1,FALSE,0.6149184543400299,0.44872354193947483,0.279514302814843,-0.029589471446638798
10,45,100,function (t)  0.5^t,1,FALSE,0.720438013930324,1.3888568715781795,0.315934444585497,0.315934444585497
10,45,100,function (t)  0.5^t,1,FALSE,0.5774604357075606,0.28321619703851164,0.16084328591661118,0.07234601076901465
10,45,100,function (t)  0.5^t,1,FALSE,0.5235367124420562,0.030334526578526866,0.16963073595945724,0.0926527563934896
10,45,100,function (t)  0.5^t,1,FALSE,0.5052752791825487,0.010529513150002875,0.1711636077607303,0.06639504404222005
10,45,100,function (t)  0.5^t,1,FALSE,0.6213463751443971,-0.37667919112045034,0.19982556815953723,0.03728960513187855
10,45,100,function (t)  0.5^t,1,FALSE,0.6228072555558033,-0.17673418397597476,0.21096150609107378,-0.015537918795703593
10,45,100,function (t)  0.5^t,1,FALSE,0.5672127032854002,0.3556048354669065,0.3247531396933626,-0.045559184765794444
10,45,100,function (t)  0.5^t,1,FALSE,0.6314957348617508,0.939579289255172,0.23353486054350353,0.02743822424942324
10,45,100,function (t)  0.5^t,1,FALSE,0.504078332786496,0.6276212957257643,0.23630196294610928,0.06394499847594207
10,45,100,function (t)  0.5^t,1,FALSE,0.736363824519367,-0.5849930597665927,0.24159123187168866,0.059934433801700444
10,45,100,function (t)  0.5^t,1,FALSE,0.5151768005959511,-0.5084254676573134,0.17411639146364116,-0.14678396595112422
10,45,100,function (t)  0.5^t,1,FALSE,0.5419748367037808,0.15725937870538756,0.19801920047474447,-0.1247642053724566
10,45,100,function (t)  0.5^t,1,FALSE,0.4363299888561568,-0.0566314322008751,0.1594560796095026,0.09087633666908548
10,45,100,function (t)  0.5^t,1,FALSE,0.6054864619858733,0.4615246296023534,0.1979195579314648,0.05655205827417032
